order_month,net_revenue,gross_revenue,order_count,purchasing_customers,aov,margin,margin_rate,is_partial_month
2023-08-01,83734.940000,119685.110000,967,958,86.590000,43204.870000,0.515972,False
2023-09-01,73350.830000,100328.310000,908,905,80.780000,37728.320000,0.514354,False
2023-10-01,84435.920000,114548.260000,1010,1000,83.600000,43757.960000,0.518239,False
2023-11-01,87741.880000,114973.520000,980,973,89.530000,45433.050000,0.517803,False
2023-12-01,94582.320000,129881.580000,1061,1053,89.140000,48933.800000,0.517367,False
2024-01-01,95728.480000,128102.860000,1107,1100,86.480000,49364.190000,0.515669,False
2024-02-01,89908.850000,120542.580000,1047,1042,85.870000,46682.970000,0.519225,False
2024-03-01,102597.220000,139716.810000,1168,1159,87.840000,53209.320000,0.518623,False
2024-04-01,106693.230000,139373.100000,1237,1231,86.250000,55326.850000,0.518560,False
2024-05-01,109241.810000,142153.430000,1250,1242,87.390000,56627.980000,0.518373,False
2024-06-01,110285.160000,146029.940000,1229,1218,89.740000,57216.390000,0.518804,False
2024-07-01,117619.910000,153338.270000,1385,1372,84.920000,60974.250000,0.518401,False
2024-08-01,119602.950000,156092.530000,1385,1372,86.360000,62231.360000,0.520316,False
2024-09-01,117805.310000,158298.500000,1366,1345,86.240000,60798.340000,0.516092,False
2024-10-01,125194.260000,165089.410000,1434,1414,87.300000,64610.330000,0.516081,False
2024-11-01,133844.650000,172924.130000,1469,1457,91.110000,69147.980000,0.516629,False
2024-12-01,134862.290000,177784.420000,1532,1517,88.030000,70075.070000,0.519605,False
2025-01-01,141111.850000,190983.390000,1657,1644,85.160000,73033.440000,0.517557,False
2025-02-01,135011.990000,183782.350000,1596,1580,84.590000,70041.180000,0.518777,False
2025-03-01,145953.280000,194551.530000,1727,1708,84.510000,75515.150000,0.517393,False
2025-04-01,147555.430000,197262.020000,1724,1708,85.590000,76820.970000,0.520624,False
2025-05-01,169797.240000,222887.390000,1938,1912,87.610000,88077.810000,0.518723,False
2025-06-01,163056.600000,216920.510000,1889,1872,86.320000,84477.460000,0.518087,False
2025-07-01,179663.360000,237924.700000,2049,2023,87.680000,92828.250000,0.516679,False
2025-08-01,189400.910000,256416.940000,2153,2115,87.970000,98851.320000,0.521916,False
2025-09-01,181929.830000,239028.560000,2109,2091,86.260000,94158.990000,0.517557,False
2025-10-01,192015.140000,259004.820000,2314,2279,82.980000,99873.760000,0.520135,False
2025-11-01,201490.670000,269918.160000,2254,2222,89.390000,104460.500000,0.518438,False
2025-12-01,216163.990000,286387.230000,2533,2488,85.340000,112032.250000,0.518274,False
2026-01-01,221060.960000,295680.990000,2650,2604,83.420000,114764.930000,0.519155,False
2026-02-01,226458.830000,294327.730000,2607,2552,86.870000,117506.230000,0.518886,False
2026-03-01,271979.390000,366283.730000,3071,3004,88.560000,141738.210000,0.521136,False
2026-04-01,264568.300000,351627.370000,3083,3000,85.820000,137007.220000,0.517852,False
2026-05-01,313012.340000,420078.740000,3569,3446,87.700000,163103.360000,0.521076,False
2026-06-01,343918.150000,453122.280000,3976,3786,86.500000,178816.630000,0.519939,False
2026-07-01,447497.370000,595150.330000,5151,4707,86.880000,232215.510000,0.518920,False
2026-08-01,309450.820000,414124.920000,3683,2866,84.020000,160026.570000,0.517131,True
