cohort_month,cohort_size,m1_retention_rate,m2_retention_rate,m3_retention_rate,m4_retention_rate,m5_retention_rate,m6_retention_rate,m7_retention_rate,m8_retention_rate,m9_retention_rate,m10_retention_rate,m11_retention_rate,m12_retention_rate,m1_is_censored,m2_is_censored,m3_is_censored,m4_is_censored,m5_is_censored,m6_is_censored,m7_is_censored,m8_is_censored,m9_is_censored,m10_is_censored,m11_is_censored,m12_is_censored
2023-08-01,763,0.006553,0.017038,0.023591,0.020970,0.013106,0.007864,0.015727,0.013106,0.011796,0.010485,0.013106,0.011796,False,False,False,False,False,False,False,False,False,False,False,False
2023-09-01,713,0.021038,0.012623,0.019635,0.018233,0.022440,0.011220,0.021038,0.022440,0.022440,0.012623,0.008415,0.014025,False,False,False,False,False,False,False,False,False,False,False,False
2023-10-01,779,0.012837,0.011553,0.020539,0.008986,0.014121,0.010270,0.020539,0.020539,0.010270,0.008986,0.014121,0.008986,False,False,False,False,False,False,False,False,False,False,False,False
2023-11-01,733,0.009550,0.016371,0.010914,0.016371,0.009550,0.009550,0.008186,0.012278,0.013643,0.015007,0.010914,0.013643,False,False,False,False,False,False,False,False,False,False,False,False
2023-12-01,807,0.013631,0.012392,0.019827,0.012392,0.013631,0.013631,0.013631,0.018587,0.013631,0.008674,0.007435,0.012392,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-01,845,0.013018,0.013018,0.021302,0.021302,0.016568,0.015385,0.020118,0.017751,0.010651,0.004734,0.009467,0.015385,False,False,False,False,False,False,False,False,False,False,False,False
2024-02-01,765,0.019608,0.013072,0.016993,0.026144,0.010458,0.011765,0.018301,0.016993,0.018301,0.019608,0.019608,0.022222,False,False,False,False,False,False,False,False,False,False,False,False
2024-03-01,868,0.021889,0.013825,0.004608,0.011521,0.016129,0.021889,0.016129,0.012673,0.011521,0.017281,0.020737,0.014977,False,False,False,False,False,False,False,False,False,False,False,False
2024-04-01,920,0.010870,0.018478,0.013043,0.018478,0.009783,0.018478,0.017391,0.015217,0.016304,0.016304,0.011957,0.023913,False,False,False,False,False,False,False,False,False,False,False,False
2024-05-01,911,0.019759,0.010977,0.014270,0.017563,0.016465,0.018661,0.012075,0.010977,0.016465,0.017563,0.020856,0.018661,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-01,897,0.016722,0.027871,0.007804,0.014493,0.020067,0.010033,0.023411,0.017837,0.018952,0.022297,0.017837,0.014493,False,False,False,False,False,False,False,False,False,False,False,False
2024-07-01,1046,0.016252,0.013384,0.021989,0.015296,0.020076,0.020076,0.021033,0.015296,0.011472,0.014340,0.012428,0.015296,False,False,False,False,False,False,False,False,False,False,False,False
2024-08-01,999,0.014014,0.023023,0.012012,0.019019,0.019019,0.019019,0.008008,0.017017,0.019019,0.011011,0.022022,0.017017,False,False,False,False,False,False,False,False,False,False,False,False
2024-09-01,961,0.018730,0.009365,0.017690,0.019771,0.024974,0.019771,0.016649,0.022893,0.012487,0.019771,0.018730,0.019771,False,False,False,False,False,False,False,False,False,False,False,False
2024-10-01,1005,0.024876,0.020896,0.023881,0.015920,0.017910,0.019900,0.015920,0.010945,0.020896,0.018905,0.009950,0.019900,False,False,False,False,False,False,False,False,False,False,False,False
2024-11-01,1053,0.022792,0.022792,0.020893,0.018044,0.018993,0.018993,0.018044,0.018993,0.012346,0.013295,0.034188,0.018044,False,False,False,False,False,False,False,False,False,False,False,False
2024-12-01,1075,0.020465,0.015814,0.025116,0.018605,0.016744,0.025116,0.023256,0.014884,0.022326,0.025116,0.020465,0.025116,False,False,False,False,False,False,False,False,False,False,False,False
2025-01-01,1167,0.023993,0.024850,0.011997,0.020566,0.020566,0.021422,0.022279,0.014567,0.020566,0.014567,0.014567,0.018852,False,False,False,False,False,False,False,False,False,False,False,False
2025-02-01,1099,0.023658,0.016379,0.014559,0.014559,0.016379,0.025478,0.025478,0.027298,0.021838,0.022748,0.029117,0.016379,False,False,False,False,False,False,False,False,False,False,False,False
2025-03-01,1180,0.018644,0.023729,0.025424,0.024576,0.022034,0.018644,0.027966,0.022881,0.022034,0.023729,0.020339,0.024576,False,False,False,False,False,False,False,False,False,False,False,False
2025-04-01,1169,0.036784,0.032506,0.027374,0.026518,0.023097,0.026518,0.023952,0.021386,0.036784,0.028229,0.032506,0.027374,False,False,False,False,False,False,False,False,False,False,False,False
2025-05-01,1299,0.030023,0.026174,0.027714,0.023865,0.020015,0.025404,0.024634,0.027714,0.022325,0.022325,0.021555,0.021555,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-01,1275,0.025098,0.029804,0.032941,0.030588,0.022745,0.028235,0.024314,0.029020,0.026667,0.023529,0.026667,0.031373,False,False,False,False,False,False,False,False,False,False,False,False
2025-07-01,1340,0.024627,0.025373,0.036567,0.022388,0.026866,0.025373,0.025373,0.032836,0.027612,0.026119,0.028358,0.023881,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-01,1417,0.020466,0.030346,0.035286,0.028934,0.023994,0.028229,0.033169,0.035286,0.031757,0.026817,0.031052,,False,False,False,False,False,False,False,False,False,False,False,True
2025-09-01,1439,0.024322,0.025712,0.029882,0.025017,0.025712,0.024322,0.029187,0.027797,0.026407,0.027102,,,False,False,False,False,False,False,False,False,False,False,True,True
2025-10-01,1460,0.030137,0.032877,0.031507,0.030822,0.030822,0.030137,0.032192,0.021918,0.031507,,,,False,False,False,False,False,False,False,False,False,True,True,True
2025-11-01,1462,0.032148,0.030780,0.025308,0.038988,0.041040,0.030096,0.031464,0.032832,,,,,False,False,False,False,False,False,False,False,True,True,True,True
2025-12-01,1620,0.041975,0.046296,0.043210,0.031481,0.036420,0.037654,0.033951,,,,,,False,False,False,False,False,False,False,True,True,True,True,True
2026-01-01,1673,0.040048,0.050209,0.044830,0.040048,0.034668,0.046025,,,,,,,False,False,False,False,False,False,True,True,True,True,True,True
2026-02-01,1651,0.045427,0.054512,0.052695,0.047244,0.055118,,,,,,,,False,False,False,False,False,True,True,True,True,True,True,True
2026-03-01,1875,0.044800,0.057067,0.053867,0.056533,,,,,,,,,False,False,False,False,True,True,True,True,True,True,True,True
2026-04-01,1861,0.064481,0.064481,0.061257,,,,,,,,,,False,False,False,True,True,True,True,True,True,True,True,True
2026-05-01,2161,0.083758,0.080056,,,,,,,,,,,False,False,True,True,True,True,True,True,True,True,True,True
2026-06-01,2337,0.115961,,,,,,,,,,,,False,True,True,True,True,True,True,True,True,True,True,True
2026-07-01,2962,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True
2026-08-01,2341,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True
